split	n_candidates	n_labeled	n_empty	tp	fp	fn	tn	objectness_precision	objectness_recall	objectness_f1	class_exact_match_labeled	class_any_match_labeled	rescue_type_tau	rescue_objectness_floor	rescue_margin	mean_predicted_labels_labeled	multicall_rate_labeled	empty_false_positive_rate	n_rescued	n_rescued_labeled	n_rescued_empty	rescued_precision	meets_constraints	rescue_objective
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.0010000000474974513	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.004999999888241291	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.004999999888241291	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.004999999888241291	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.004999999888241291	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.004999999888241291	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.004999999888241291	0.25	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.004999999888241291	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.009999999776482582	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.009999999776482582	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.009999999776482582	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.009999999776482582	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.009999999776482582	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.009999999776482582	0.25	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.009999999776482582	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.019999999552965164	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.019999999552965164	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.019999999552965164	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.019999999552965164	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.019999999552965164	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.019999999552965164	0.25	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.019999999552965164	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.05000000074505806	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.05000000074505806	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.05000000074505806	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.05000000074505806	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.05000000074505806	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.05000000074505806	0.25	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.05000000074505806	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.10000000149011612	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.10000000149011612	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.10000000149011612	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.10000000149011612	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.10000000149011612	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.10000000149011612	0.25	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6000000238418579	0.10000000149011612	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0	0.25	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0010000000474974513	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0010000000474974513	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0010000000474974513	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0010000000474974513	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0010000000474974513	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0010000000474974513	0.25	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.0010000000474974513	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.004999999888241291	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.004999999888241291	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.004999999888241291	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.004999999888241291	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.004999999888241291	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.004999999888241291	0.25	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.004999999888241291	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.009999999776482582	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.009999999776482582	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.009999999776482582	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.009999999776482582	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.009999999776482582	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.009999999776482582	0.25	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.009999999776482582	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.019999999552965164	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.019999999552965164	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.019999999552965164	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.019999999552965164	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.019999999552965164	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.019999999552965164	0.25	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.019999999552965164	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.05000000074505806	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.05000000074505806	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.05000000074505806	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.05000000074505806	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.05000000074505806	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.05000000074505806	0.25	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	51	15	48	0.8131868131868132	0.9367088607594937	0.8705882352941177	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.05000000074505806	0.30000001192092896	1.4683544303797469	0.4092827004219409	0.5151515151515151	3	1	2	0.3333333333333333	True	1.0397199846566934
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.10000000149011612	0.0	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.10000000149011612	0.05000000074505806	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.10000000149011612	0.10000000149011612	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.10000000149011612	0.15000000596046448	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
rescue_sweep	336	237	99	222	52	15	47	0.8102189781021898	0.9367088607594937	0.8688845401174168	0.22784810126582278	0.9282700421940928	0.6200000047683716	0.10000000149011612	0.20000000298023224	1.4683544303797469	0.4092827004219409	0.5252525252525253	4	1	3	0.25	True	1.0356795806162893
