class_name	type_tau	precision	recall	f1	tp	fp	fn	tn
ecDNA	0.9200000166893005	1.0	0.64	0.7804878048780487	16	0	9	212
ecDNA	0.9300000071525574	1.0	0.56	0.717948717948718	14	0	11	212
ecDNA	0.9399999976158142	1.0	0.56	0.717948717948718	14	0	11	212
ecDNA	0.949999988079071	1.0	0.28	0.43750000000000006	7	0	18	212
Seismic_Amplification	0.05000000074505806	0.5343915343915344	1.0	0.6965517241379311	101	88	0	48
Seismic_Amplification	0.05999999865889549	0.5838150289017341	1.0	0.7372262773722628	101	72	0	64
Seismic_Amplification	0.07000000029802322	0.6158536585365854	1.0	0.7622641509433963	101	63	0	73
Seismic_Amplification	0.07999999821186066	0.6644736842105263	1.0	0.7984189723320159	101	51	0	85
Seismic_Amplification	0.09000000357627869	0.7163120567375887	1.0	0.8347107438016529	101	40	0	96
Seismic_Amplification	0.10000000149011612	0.7426470588235294	1.0	0.8523206751054853	101	35	0	101
Seismic_Amplification	0.10999999940395355	0.7890625	1.0	0.8820960698689956	101	27	0	109
Seismic_Amplification	0.11999999731779099	0.8145161290322581	1.0	0.8977777777777779	101	23	0	113
Seismic_Amplification	0.12999999523162842	0.8211382113821138	1.0	0.9017857142857143	101	22	0	114
Seismic_Amplification	0.14000000059604645	0.8278688524590164	1.0	0.9058295964125561	101	21	0	115
Seismic_Amplification	0.15000000596046448	0.8487394957983193	1.0	0.9181818181818181	101	18	0	118
Seismic_Amplification	0.1599999964237213	0.8859649122807017	1.0	0.9395348837209303	101	13	0	123
Seismic_Amplification	0.17000000178813934	0.8859649122807017	1.0	0.9395348837209303	101	13	0	123
Seismic_Amplification	0.18000000715255737	0.9017857142857143	1.0	0.948356807511737	101	11	0	125
Seismic_Amplification	0.1899999976158142	0.9099099099099099	1.0	0.9528301886792453	101	10	0	126
Seismic_Amplification	0.20000000298023224	0.9174311926605505	0.9900990099009901	0.9523809523809524	100	9	1	127
Seismic_Amplification	0.20999999344348907	0.9166666666666666	0.9801980198019802	0.9473684210526315	99	9	2	127
Seismic_Amplification	0.2199999988079071	0.9333333333333333	0.9702970297029703	0.9514563106796117	98	7	3	129
Seismic_Amplification	0.23000000417232513	0.9333333333333333	0.9702970297029703	0.9514563106796117	98	7	3	129
Seismic_Amplification	0.23999999463558197	0.9423076923076923	0.9702970297029703	0.9560975609756097	98	6	3	130
Seismic_Amplification	0.25	0.9423076923076923	0.9702970297029703	0.9560975609756097	98	6	3	130
Seismic_Amplification	0.25999999046325684	0.9514563106796117	0.9702970297029703	0.9607843137254902	98	5	3	131
Seismic_Amplification	0.27000001072883606	0.9514563106796117	0.9702970297029703	0.9607843137254902	98	5	3	131
Seismic_Amplification	0.2800000011920929	0.9514563106796117	0.9702970297029703	0.9607843137254902	98	5	3	131
Seismic_Amplification	0.28999999165534973	0.95	0.9405940594059405	0.9452736318407959	95	5	6	131
Seismic_Amplification	0.30000001192092896	0.9484536082474226	0.9108910891089109	0.9292929292929293	92	5	9	131
Seismic_Amplification	0.3100000023841858	0.968421052631579	0.9108910891089109	0.9387755102040817	92	3	9	133
Seismic_Amplification	0.3199999928474426	0.9680851063829787	0.900990099009901	0.9333333333333335	91	3	10	133
Seismic_Amplification	0.33000001311302185	0.9782608695652174	0.8910891089108911	0.9326424870466321	90	2	11	134
Seismic_Amplification	0.3400000035762787	0.9782608695652174	0.8910891089108911	0.9326424870466321	90	2	11	134
Seismic_Amplification	0.3499999940395355	0.9782608695652174	0.8910891089108911	0.9326424870466321	90	2	11	134
Seismic_Amplification	0.36000001430511475	0.9782608695652174	0.8910891089108911	0.9326424870466321	90	2	11	134
Seismic_Amplification	0.3700000047683716	0.9782608695652174	0.8910891089108911	0.9326424870466321	90	2	11	134
Seismic_Amplification	0.3799999952316284	0.9888888888888889	0.8811881188118812	0.9319371727748692	89	1	12	135
Seismic_Amplification	0.38999998569488525	1.0	0.8811881188118812	0.9368421052631579	89	0	12	136
Seismic_Amplification	0.4000000059604645	1.0	0.8613861386138614	0.9255319148936171	87	0	14	136
Seismic_Amplification	0.4099999964237213	1.0	0.8514851485148515	0.9197860962566845	86	0	15	136
Seismic_Amplification	0.41999998688697815	1.0	0.8514851485148515	0.9197860962566845	86	0	15	136
Seismic_Amplification	0.4300000071525574	1.0	0.8415841584158416	0.913978494623656	85	0	16	136
Seismic_Amplification	0.4399999976158142	1.0	0.8415841584158416	0.913978494623656	85	0	16	136
Seismic_Amplification	0.44999998807907104	1.0	0.8316831683168316	0.9081081081081082	84	0	17	136
Seismic_Amplification	0.46000000834465027	1.0	0.8316831683168316	0.9081081081081082	84	0	17	136
Seismic_Amplification	0.4699999988079071	1.0	0.8217821782178217	0.9021739130434783	83	0	18	136
Seismic_Amplification	0.47999998927116394	1.0	0.7920792079207921	0.8839779005524863	80	0	21	136
Seismic_Amplification	0.49000000953674316	1.0	0.7524752475247525	0.8587570621468926	76	0	25	136
Seismic_Amplification	0.5	1.0	0.7128712871287128	0.8323699421965318	72	0	29	136
Seismic_Amplification	0.5099999904632568	1.0	0.693069306930693	0.8187134502923976	70	0	31	136
Seismic_Amplification	0.5199999809265137	1.0	0.693069306930693	0.8187134502923976	70	0	31	136
Seismic_Amplification	0.5299999713897705	1.0	0.6534653465346535	0.7904191616766467	66	0	35	136
Seismic_Amplification	0.5400000214576721	1.0	0.6534653465346535	0.7904191616766467	66	0	35	136
Seismic_Amplification	0.550000011920929	1.0	0.6336633663366337	0.7757575757575758	64	0	37	136
Seismic_Amplification	0.5600000023841858	1.0	0.6237623762376238	0.7682926829268292	63	0	38	136
Seismic_Amplification	0.5699999928474426	1.0	0.6237623762376238	0.7682926829268292	63	0	38	136
Seismic_Amplification	0.5799999833106995	1.0	0.6039603960396039	0.7530864197530863	61	0	40	136
